
=== PC=0 DETECTED at cycle 4598119562 ===
core_st=0 next_st=1 mmu_st=0 bus_addr=0x80780660
fe_instr=0x00008067

--- Register file ---
  x0  = 0x00000000  x1  = 0x00000000  x2  = 0xc1c81ad0  x3  = 0xc1909498
  x4  = 0xc1c8a440  x5  = 0x74b96130  x6  = 0x00000e38  x7  = 0x000000c1
  x8  = 0x00000000  x9  = 0x00000000  x10 = 0x0000000e  x11 = 0x001fca60
  x12 = 0x00000ff0  x13 = 0xc1c9701e  x14 = 0x00000ff0  x15 = 0x00040000
  x16 = 0xc1c09d80  x17 = 0x00000cc0  x18 = 0x00000000  x19 = 0xc157b4e8
  x20 = 0x00000000  x21 = 0xc0233a88  x22 = 0x00000000  x23 = 0x00000002
  x24 = 0x0000003a  x25 = 0x0024b148  x26 = 0x00000000  x27 = 0x00000000
  x28 = 0x0000ff00  x29 = 0x00000e38  x30 = 0x00ff0000  x31 = 0x00000e39

  [4598097622] pc=0xc0355e88 st=6 next=0 instr=0x00755d93 bus=0x80755e88 ra=0xc035501c
  [4598097627] pc=0xc0355e8c st=6 next=0 instr=0x01951513 bus=0x80755e8c ra=0xc035501c
  [4598097632] pc=0xc0355e90 st=6 next=0 instr=0x01b50533 bus=0x80755e90 ra=0xc035501c
  [4598097637] pc=0xc0355e94 st=6 next=0 instr=0x00a30333 bus=0x80755e94 ra=0xc035501c
  [4598097642] pc=0xc0355e98 st=6 next=0 instr=0x00f347b3 bus=0x80755e98 ra=0xc035501c
  [4598097649] pc=0xc0355e9c st=6 next=0 instr=0xf4042483 bus=0x82081830 ra=0xc035501c
  [4598097654] pc=0xc0355ea0 st=6 next=0 instr=0x0107dd93 bus=0x80755ea0 ra=0xc035501c
  [4598097659] pc=0xc0355ea4 st=6 next=0 instr=0x01079793 bus=0x80755ea4 ra=0xc035501c
  [4598097664] pc=0xc0355ea8 st=6 next=0 instr=0x01b787b3 bus=0x80755ea8 ra=0xc035501c
  [4598097669] pc=0xc0355eac st=6 next=0 instr=0x00fd0d33 bus=0x80755eac ra=0xc035501c
  [4598097674] pc=0xc0355eb0 st=6 next=0 instr=0x01e48f33 bus=0x80755eb0 ra=0xc035501c
  [4598097681] pc=0xc0355eb4 st=6 next=0 instr=0xf7442483 bus=0x82081864 ra=0xc035501c
  [4598097686] pc=0xc0355eb8 st=6 next=0 instr=0x00ad4533 bus=0x80755eb8 ra=0xc035501c
  [4598097691] pc=0xc0355ebc st=6 next=0 instr=0x00c55d93 bus=0x80755ebc ra=0xc035501c
  [4598097696] pc=0xc0355ec0 st=6 next=0 instr=0x01451513 bus=0x80755ec0 ra=0xc035501c
  [4598097701] pc=0xc0355ec4 st=6 next=0 instr=0x01b50533 bus=0x80755ec4 ra=0xc035501c
  [4598097706] pc=0xc0355ec8 st=6 next=0 instr=0x00648333 bus=0x80755ec8 ra=0xc035501c
  [4598097711] pc=0xc0355ecc st=6 next=0 instr=0x00a30333 bus=0x80755ecc ra=0xc035501c
  [4598097716] pc=0xc0355ed0 st=6 next=0 instr=0x00f347b3 bus=0x80755ed0 ra=0xc035501c
  [4598097721] pc=0xc0355ed4 st=6 next=0 instr=0x0087dd93 bus=0x80755ed4 ra=0xc035501c
  [4598097726] pc=0xc0355ed8 st=6 next=0 instr=0x01879793 bus=0x80755ed8 ra=0xc035501c
  [4598097731] pc=0xc0355edc st=6 next=0 instr=0x01b787b3 bus=0x80755edc ra=0xc035501c
  [4598097736] pc=0xc0355ee0 st=6 next=0 instr=0x00fd0d33 bus=0x80755ee0 ra=0xc035501c
  [4598097741] pc=0xc0355ee4 st=6 next=0 instr=0x00ad4533 bus=0x80755ee4 ra=0xc035501c
  [4598097746] pc=0xc0355ee8 st=6 next=0 instr=0x00dd0d33 bus=0x80755ee8 ra=0xc035501c
  [4598097751] pc=0xc0355eec st=6 next=0 instr=0x00bd45b3 bus=0x80755eec ra=0xc035501c
  [4598097756] pc=0xc0355ef0 st=6 next=0 instr=0x00c5dd93 bus=0x80755ef0 ra=0xc035501c
  [4598097761] pc=0xc0355ef4 st=6 next=0 instr=0x01459593 bus=0x80755ef4 ra=0xc035501c
  [4598097766] pc=0xc0355ef8 st=6 next=0 instr=0x01b585b3 bus=0x80755ef8 ra=0xc035501c
  [4598097771] pc=0xc0355efc st=6 next=0 instr=0x01dc0eb3 bus=0x80755efc ra=0xc035501c
  [4598097776] pc=0xc0355f00 st=6 next=0 instr=0x00be8eb3 bus=0x80755f00 ra=0xc035501c
